,0
0,note_off channel=0 note=64 velocity=0 time=0
1,note_on channel=0 note=64 velocity=70 time=0
2,note_off channel=0 note=64 velocity=0 time=0
3,note_on channel=0 note=62 velocity=70 time=0
4,note_off channel=0 note=62 velocity=0 time=0
5,note_on channel=0 note=60 velocity=63 time=0
6,note_off channel=0 note=60 velocity=0 time=0
7,note_on channel=0 note=64 velocity=57 time=0
8,note_off channel=0 note=64 velocity=0 time=0
9,note_on channel=0 note=64 velocity=61 time=0
10,note_off channel=0 note=64 velocity=0 time=0
11,note_on channel=0 note=62 velocity=76 time=0
12,note_off channel=0 note=62 velocity=0 time=0
13,note_on channel=0 note=60 velocity=12 time=0
14,note_off channel=0 note=60 velocity=0 time=0
15,note_on channel=0 note=60 velocity=83 time=0
16,note_off channel=0 note=60 velocity=0 time=0
17,note_on channel=0 note=60 velocity=76 time=0
18,note_off channel=0 note=60 velocity=0 time=0
19,note_on channel=0 note=64 velocity=63 time=0
20,note_off channel=0 note=64 velocity=0 time=0
21,note_on channel=0 note=62 velocity=79 time=0
22,note_off channel=0 note=62 velocity=0 time=0
23,note_on channel=0 note=60 velocity=57 time=0
24,note_off channel=0 note=60 velocity=0 time=0
25,note_on channel=0 note=62 velocity=70 time=0
26,note_off channel=0 note=62 velocity=0 time=0
27,note_on channel=0 note=64 velocity=62 time=0
28,note_off channel=0 note=64 velocity=0 time=0
29,note_on channel=0 note=60 velocity=76 time=0
30,note_off channel=0 note=60 velocity=0 time=0
31,note_on channel=0 note=64 velocity=54 time=0
32,note_off channel=0 note=64 velocity=0 time=0
33,note_on channel=0 note=62 velocity=68 time=0
34,note_off channel=0 note=62 velocity=0 time=0
35,note_on channel=0 note=60 velocity=66 time=0
36,note_off channel=0 note=60 velocity=0 time=0
37,note_on channel=0 note=62 velocity=78 time=0
38,note_off channel=0 note=62 velocity=0 time=0
39,note_on channel=0 note=67 velocity=53 time=0
40,note_off channel=0 note=67 velocity=0 time=0
41,note_on channel=0 note=65 velocity=48 time=0
42,note_off channel=0 note=65 velocity=0 time=0
43,note_on channel=0 note=64 velocity=57 time=0
44,note_off channel=0 note=64 velocity=0 time=0
45,note_on channel=0 note=62 velocity=71 time=0
46,note_off channel=0 note=62 velocity=0 time=0
47,note_on channel=0 note=60 velocity=65 time=0
48,note_off channel=0 note=60 velocity=0 time=0
49,note_on channel=0 note=64 velocity=77 time=0
50,note_off channel=0 note=64 velocity=0 time=0
51,note_on channel=0 note=60 velocity=78 time=0
52,note_off channel=0 note=60 velocity=0 time=0
53,note_on channel=0 note=64 velocity=71 time=0
54,note_off channel=0 note=64 velocity=0 time=0
